REACTANT,REAGENT,PRODUCT,REACTION_TYPE
CC(Nc1nc(Nc2cnccn2)cc(-c2cnc([Si](C(C)C)(C(C)C)C(C)C)o2)n1)c1ccc(F)cc1,C1CCOC1.C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.CCOC(C)=O.[F-],CC(Nc1nc(Nc2cnccn2)cc(-c2cnco2)n1)c1ccc(F)cc1,not_reduction
CCOc1cc(C(C)(C)C)ncc1C1=NC(C)(c2ccc(Cl)cc2)C(C)(c2ccc(Cl)cc2)N1C(=O)Cl.Cn1cccc1C(=O)N1CCNCC1,,CCOc1cc(C(C)(C)C)ncc1C1=NC(C)(c2ccc(Cl)cc2)C(C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(C(=O)c2cccn2C)CC1,not_reduction
Cn1c(=O)n(CCCI)c2ccccc21.O=c1[nH]c2cc(Cl)ccc2n1C1CCNCC1,CN(C)C=O.O=C([O-])[O-].[Na+].[Na+],Cn1c(=O)n(CCCN2CCC(n3c(=O)[nH]c4cc(Cl)ccc43)CC2)c2ccccc21,not_reduction
C1CNC1.CS(=O)(=O)OCCC#Cc1ccc2c(-c3ccc(Br)cc3)nsc2c1,O=C([O-])[O-].[Na+].[Na+],Brc1ccc(-c2nsc3cc(C#CCCN4CCC4)ccc23)cc1,not_reduction
FC(F)(F)Oc1ccc(C=NNc2cc(-c3ccccc3)nc(Cl)n2)cc1.Nc1ccc(Cl)cc1,C1CCOC1.[Li]CCCC,FC(F)(F)Oc1ccc(C=NNc2cc(-c3ccccc3)nc(Nc3ccc(Cl)cc3)n2)cc1,not_reduction
CI.COc1cccc(Nc2nc(Cl)nc3ccccc23)c1OC,,COc1cccc(N(C)c2nc(Cl)nc3ccccc23)c1OC,not_reduction
NCC(=O)CCC(=O)O.O=[N+]([O-])O,Cl.Cl.N.O.[H][H].[Na],O=[N+]([O-])O,reduction
CCn1c2ccccc2c2cc(C=O)ccc21.NN,C1CCOC1.CCN(CC)CC.O.O,CCn1c2ccccc2c2cc(C=NN)ccc21,not_reduction
CC(C)(C)[Si](Oc1ccc(OCC(O)CNCCc2ccc(OC3CCN(C(=O)NCc4ccc(F)cc4)CC3)cc2)cc1)(c1ccccc1)c1ccccc1,CO.ClC(Cl)Cl,O=C(NCc1ccc(F)cc1)N1CCC(Oc2ccc(CCNCC(O)COc3ccc(O)cc3)cc2)CC1,not_reduction
COC(=O)c1ccc(C(C)(C)C)c(C#N)c1,C1COCCO1.[Li+].[OH-],CC(C)(C)c1ccc(C(=O)O)cc1C#N,not_reduction
C#CC1CC1.CC(C)(C)[Si](C)(C)OC1CCC(Nc2ccccc2I)CC1,CCN(CC)CC.[Cu]I,CC(C)(C)[Si](C)(C)OC1CCC(Nc2ccccc2C#CC2CC2)CC1,not_reduction
CS(=O)(=O)CCN.CS(=O)(=O)c1ccc(Oc2cc(OC3CCOCC3)c3[nH]c(C4=NCC(CC(=O)O)S4)cc3c2)cn1,CCN(CC)CC.CCN=C=NCCCN(C)C.CN(C)C=O.Cl.Cl.O.O.On1nnc2ccccc21,CS(=O)(=O)CCNC(=O)CC1CN=C(c2cc3cc(Oc4ccc(S(C)(=O)=O)nc4)cc(OC4CCOCC4)c3[nH]2)S1,not_reduction
C#Cc1cncc(Cl)c1.Fc1ccc(I)cc1F,CCN(CC)CC.Cl[Pd]Cl.[Cu]I.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,Fc1ccc(C#Cc2cncc(Cl)c2)cc1F,not_reduction
CCOC(=O)Nc1nc2ncc(C)nc2s1,Cl.[Na+].[OH-],Cc1cnc2nc(N)sc2n1,not_reduction
COC(=O)c1sc(Cl)c(Cl)c1NC(C)=O,CCN(CC)CC.CO.[H][H],COC(=O)c1scc(Cl)c1NC(C)=O,reduction
CC(C)(C)C(=O)OCn1nc(I)c2cc(Br)cnc21.Clc1cccc(C[Zn+])c1,C1CCOC1.[Cl-].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd-4]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CC(C)(C)C(=O)OCn1nc(Cc2cccc(Cl)c2)c2cc(Br)cnc21,not_reduction
CCI.CCOc1nsnc1-c1cccnc1,CC(C)=O,CCOc1nsnc1-c1ccc[n+](CC)c1.[I-],not_reduction
CCC[O-].Sc1ccc2ccccc2c1,CCCO.[Na+],CCCSc1ccc2ccccc2c1,not_reduction
C1CCOC1.Cc1ccc2c(Cl)nccc2c1[N+](=O)[O-],Cl,Cc1ccc2c(=O)[nH]ccc2c1[N+](=O)[O-],not_reduction
COc1ccc(CC(=O)O)cc1OC.O=S(Cl)Cl,ClCCl,[Cl-],not_reduction
COc1ccc(C(=O)Cl)cc1OC.Cc1c(C)c2c(c(C)c1N)C(c1ccc(C(C)C)cc1)C(C)(C)O2,CCCCCC.CCOC(C)=O,COc1ccc(C(=O)Nc2c(C)c(C)c3c(c2C)C(c2ccc(C(C)C)cc2)C(C)(C)O3)cc1OC,not_reduction
BrCc1ccccc1.COC(=O)CC(=O)c1cccnc1,C1CCOC1.Cl.[H-].[Na+],COC(=O)CC(=O)c1cccnc1Cc1ccccc1,not_reduction
CC(C)=CCn1c(C)cnc1[N+](=O)[O-].CC(C)CCON=O.Cl,,Cc1cnc([N+](=O)[O-])n1CC(N=O)C(C)(C)Cl,not_reduction
CCC(C)(C)Cc1cn(S(=O)(=O)N(C)C)c(C(=O)Cc2ccc(Br)cc2)n1.C[Mg+],C1CCOC1.[Br-].[Ce+3].[Cl-].[Cl-].[Cl-],CCC(C)(C)Cc1cn(S(=O)(=O)N(C)C)c(C(C)(O)Cc2ccc(Br)cc2)n1,not_reduction
CC(C)(C)OC(=O)c1cccnc1Cl.CN,CO,CNc1ncccc1C(=O)OC(C)(C)C,not_reduction
O=C(CCCCl)c1cccs1.OC(c1ccccc1)(c1ccccc1)C1CCNCC1,Cc1ccccc1.O=C([O-])O.[I-].[K+].[Na+],Cl.O=C(CCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1)c1cccs1,not_reduction
COc1ccc(CN(Cc2ccc(OC)cc2)c2ccc(Br)nc2)cc1.Clc1nc(N2CCOCC2)nc2c1CCN2c1ccncc1,C1CCOC1.CC(C)[Mg+].O.[Cl-].[Cl-].[Cl-].[Li]CCCC.[Zn+2],COc1ccc(CN(Cc2ccc(OC)cc2)c2ccc(-c3nc(N4CCOCC4)nc4c3CCN4c3ccncc3)nc2)cc1,not_reduction
CCC1=CC(=O)C2(C)CCC3c4ccc(OC)cc4CCC3C12.CCOCC,C1CCOC1.CCOC(C)=O.C[Mg+].ClC(Cl)Cl.N.[Cl-].[Cu]I.[I-].[NH4+],CCC1(C)CC(=O)C2(C)CCC3c4ccc(OC)cc4CCC3C12,not_reduction
CC(C)(C)OC(=O)N1CCC(CNCc2ccccc2)C(O)C1.O=Cc1ccccc1,CO.c1ccsc1,CC(C)(C)OC(=O)N1CCC(CN(Cc2ccccc2)Cc2ccccc2)C(O)C1,not_reduction
N#Cc1ccccc1N1CCC(=O)CC1.OCC1CCCNC1,,N#Cc1ccccc1N1CCC(N2CCCC(CO)C2)CC1,not_reduction
ClCCCCBr.O=C1CCCCc2sccc2N1,CC(C)(C)[O-].CN(C)C=O.O.[K+],O=C1CCCCc2sccc2N1CCCCCl,not_reduction
CCOC(=O)C1(CC(=O)OC(C)(C)C)C(=O)N(Cc2ccc(Br)cc2F)C(=O)c2cccn21,ClCCl.O=C(O)C(F)(F)F,CCOC(=O)C1(CC(=O)O)C(=O)N(Cc2ccc(Br)cc2F)C(=O)c2cccn21,not_reduction
COC(=O)C(O)C(O)C(=O)OC.COc1cc(C=O)ccc1O,CO,COC(=O)C1OC(c2ccc(O)c(OC)c2)OC1C(=O)OC,not_reduction
Cc1ccn(-c2ccc(I)cc2)n1.[N-]=[N+]=[N-],CC(C)(C#N)N=NC(C)(C)C#N.CCOC(C)=O.ClC(Cl)(Cl)Cl.O.O=C1CCC(=O)N1Br.[Na+],[N-]=[N+]=NCc1ccn(-c2ccc(I)cc2)n1,not_reduction
CN(C)C(=O)c1cc(Cl)ccn1.Nc1ccc(O)cc1,CNC.O=C(Cl)c1cc(Cl)ccn1,CN(C)C(=O)c1cc(Oc2ccc(N)cc2)ccn1,not_reduction
C[SH]=c1[nH]ccc(=O)[nH]1.NCCCN(Cc1cccc(Cl)c1)c1ccccn1,CCO.O,O=c1ccnc(NCCCN(Cc2cccc(Cl)c2)c2ccccn2)[nH]1,not_reduction
Cc1nc2c(Cl)c(N)ccc2s1.O=C(Cl)c1cc(Cl)cc(Cl)c1,C1CCOC1.CCN(CC)CC,Cc1nc2c(Cl)c(NC(=O)c3cc(Cl)cc(Cl)c3)ccc2s1,not_reduction
CCCBr.COc1cc([N+](=O)[O-])c2ncccc2c1O,CC1CO1.CCCCCC.CCN(CC)CC.CN(C)P(=O)(N(C)C)N(C)C.O,CCCOc1c(OC)cc([N+](=O)[O-])c2ncccc12,not_reduction
CC1(C)OB(c2ccc3nonc3c2)OC1(C)C.CCOC(=O)C(CC(C)C)c1cc(Cl)c(OCC2CC2)c(Br)c1,CN(C)C=O.O.O=C([O-])[O-].[Cs+].[Cs+],CCOC(=O)C(CC(C)C)c1cc(Cl)c(OCC2CC2)c(-c2ccc3nonc3c2)c1,not_reduction
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12.O=[N+]([O-])c1cccc(S(=O)(=O)Cl)c1,O.O=C([O-])[O-].[Na+].[Na+],O=[N+]([O-])c1cccc(S(=O)(=O)Nc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)c1,not_reduction
COCCCN(CCCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1)C(=O)OC(C)(C)C.Nc1ncc(Br)nc1C(=O)Nc1cccnc1,CN(C)C=O.O=C([O-])[O-].[Na+].[Na+],COCCCN(CCCc1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1)C(=O)OC(C)(C)C,not_reduction
CS(=O)(=O)c1ccc(-n2nc(C#N)c(OC3CCNCC3)cc2=O)cc1.CS(=O)(=O)c1ncc(OC(F)F)cn1,CCN(C(C)C)C(C)C.CCOC(C)=O.CN1CCCC1=O.Cl,CS(=O)(=O)c1ccc(-n2nc(C#N)c(OC3CCN(c4ncc(OC(F)F)cn4)CC3)cc2=O)cc1,not_reduction
Cc1cccc2cc3c(=O)n(CCc4cn(C(=O)NCCN(C)C)c5ccccc45)cc(C(=O)NCCN(C)C)c3nc12,CCO.[Na+].[OH-],Cc1cccc2cc3c(=O)n(CCc4c[nH]c5ccccc45)cc(C(=O)NCCN(C)C)c3nc12,not_reduction
CC1NCCc2oc(C(F)(F)F)nc21.CC1c2[nH]ccc2CCN1C(=O)c1cc2ncc(Br)cn2n1,,CC1c2nc(C(F)(F)F)oc2CCN1C(=O)c1cc2ncc(Br)cn2n1,not_reduction
CI.O=C1NC(=S)SC1=Cc1ccc2c(cnn2Cc2ccc(C(F)(F)F)cc2C(F)(F)F)c1,,CSC1=NC(=O)C(=Cc2ccc3c(cnn3Cc3ccc(C(F)(F)F)cc3C(F)(F)F)c2)S1,not_reduction
CCCN(CCC)CC1CCCCN1CCN.O=C1Nc2cccnc2N(C(=O)Cl)c2ccccc21,CC#N,CCCN(CCC)CC1CCCCN1CCNC(=O)N1c2ccccc2C(=O)Nc2cccnc21,not_reduction
CC(C)(C)OC(=O)Nc1ccc(OC2CCN(C(=O)OC(C)(C)C)CC2)cc1.CC(C)=CCBr,CC(C)=O.O.[K+].[OH-],CC(C)=CCN(C(=O)OC(C)(C)C)c1ccc(OC2CCN(C(=O)OC(C)(C)C)CC2)cc1,not_reduction
Cc1nc2nc(SCc3ccccc3)nn2c(O)c1Cl.O=P(Cl)(Cl)Cl,,Cc1nc2nc(SCc3ccccc3)nn2c(Cl)c1Cl,not_reduction
O=C(NC(Cc1ccccc1)C(O)CO)OCc1ccccc1,O=C(NC(Cc1ccccc1)C(O)CO)OCc1ccccc1,O=C1NC(Cc2ccccc2)C(CO)O1,not_reduction
COC1(c2cc(F)cc(OCc3ccccc3)c2)CCOC1,CCO,COC1(c2cc(O)cc(F)c2)CCOC1,not_reduction
CCOC(=O)c1ccc(CC#N)cc1.Cc1cccc(C(O)c2ccccc2N2CCCCC2)c1.O=S(=O)(O)O,Clc1ccccc1Cl.O,CCOC(=O)c1ccc(CC(=O)NC(c2cccc(C)c2)c2ccccc2N2CCCCC2)cc1,not_reduction
COc1ccc2c(c1)CCCC2=O.[C-]#N,CCCC[N+](CCCC)(CCCC)CCCC.O=[N+]([O-])c1ccccc1.[Br-].[Na+],COc1ccc2c(c1)CCC=C2C#N,not_reduction
CC1(c2ccc3cc(CC4CCC(C(C)(C)C)CC4)ccc3c2)COC(=O)N1,CCO.O.[Li+].[OH-],CC(N)(CO)c1ccc2cc(CC3CCC(C(C)(C)C)CC3)ccc2c1,not_reduction
CCCNCC(O)(CNc1cccc2c1cnn2-c1ccccc1)C(F)(F)F.O=C(O)c1ccccc1F,,CCCN(CC(O)(CNc1cccc2c1cnn2-c1ccccc1)C(F)(F)F)C(=O)c1ccccc1F,not_reduction
Cc1cnc(N2CCC(C3CCN(C(=O)OC(C)(C)C)CC3)CC2)cn1,O=C(O)C(F)(F)F,Cc1cnc(N2CCC(C3CCNCC3)CC2)cn1,not_reduction
CCOC(=O)CCCCCOc1c(C=CC(=O)CCc2ccccc2)occc1=O,C1CCOC1.CC[BH-](CC)CC.[Li+],CCOC(=O)CCCCCOc1c(C=CC(O)CCc2ccccc2)occc1=O,reduction
OC1CCc2cnc3c(c21)CCO3,CC#N.C[N+]1([O-])CCOCC1,O=C1CCc2cnc3c(c21)CCO3,not_reduction
O=C(C=Cc1ccc([N+](=O)[O-])c(O)c1)Nc1cccc(Cl)c1,CCO.Cl[Sn]Cl,Nc1ccc(C=CC(=O)Nc2cccc(Cl)c2)cc1O,not_reduction
CCCS(=O)(=O)Cl.O=C(O)CCCCCCCCCCCO,CCN(CC)CC.ClC(Cl)Cl.ClCCl.O,CCCS(=O)(=O)OCCCCCCCCCCCC(=O)O,not_reduction
C=CC(=O)OC.CN(C(=O)Oc1ccc(I)cc1)c1ccccc1,CN(C1CCCCC1)C1CCCCC1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd],COC(=O)C=Cc1ccc(OC(=O)N(C)c2ccccc2)cc1,not_reduction
CC(C)(C)OC(=O)NCc1ccccc1B(O)O.CCOC(=O)c1cccc(Br)n1,COCCOC.ClCCl.O=C([O-])[O-].[Na+].[Na+].c1ccc(P(c2ccccc2)(c2ccccc2)[Pd](P(c2ccccc2)(c2ccccc2)c2ccccc2)(P(c2ccccc2)(c2ccccc2)c2ccccc2)P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCOC(=O)c1cccc(-c2ccccc2CNC(=O)OC(C)(C)C)n1,not_reduction
BrC1CCCC1.COc1ccc(C=O)cc1O,CN(C)C=O.O.O=C([O-])[O-].[I-].[K+].[K+].[K+],COc1ccc(C=O)cc1OC1CCCC1,not_reduction
COc1cc2c(Cl)ncnc2cc1OCc1ccccc1.Cc1cc2c(F)c(O)ccc2[nH]1,CN1CCCC1=O.O=C([O-])[O-].[K+].[K+],COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCc1ccccc1,not_reduction
CCOC(=O)CI.OCCc1ccc(Cl)cc1,CC(C)(C)c1cccc(C(C)(C)C)n1.O=S(=O)([O-])C(F)(F)F.[Ag+],CCOC(=O)COCCc1ccc(Cl)cc1,not_reduction
CC(Cn1ncc2ccc3oc(CN)cc3c21)NC(=O)OCc1ccccc1.CCN=C=O,C1CCOC1.CC(C)NC(C)C.CO.ClCCl,CCNC(=O)NCc1cc2c(ccc3cnn(CC(C)NC(=O)OCc4ccccc4)c32)o1,not_reduction
COC(=O)c1ccc(OC2CCN(C(=O)OC(C)(C)C)CC2)cc1,ClCCl.O=C(O)C(F)(F)F,COC(=O)c1ccc(OC2CCNCC2)cc1,not_reduction
COc1ccc(I)c2sc(NC(=O)c3ccc(C)s3)nc12.OB(O)c1ccccc1Cl,,COc1ccc(-c2ccccc2Cl)c2sc(NC(=O)c3ccc(C)s3)nc12,not_reduction
CC(C)(C)OC(=O)N1CCC(Oc2ncc(N)c3ccccc23)CC1.Cc1ccc(-n2nc(C3(C)CC3)cc2NC(=O)OCC(Cl)(Cl)Cl)cc1,CCN(C(C)C)C(C)C.CS(C)=O.ClCCl.O,Cc1ccc(-n2nc(C3(C)CC3)cc2NC(=O)Nc2cnc(OC3CCN(C(=O)OC(C)(C)C)CC3)c3ccccc23)cc1,not_reduction
C#Cc1ccccc1.CCN(CC)CCOc1cc(Cl)c(I)cc1Cl,CCN(CC)CC.[Cu]I.[Pd],CCN(CC)CCOc1cc(Cl)c(C#Cc2ccccc2)cc1Cl,not_reduction
CCn1cc(-n2c(=O)n(C)c3cnc4ccc(Br)cc4c32)c(C)n1.OCc1ccc(B(O)O)cn1,,CCn1cc(-n2c(=O)n(C)c3cnc4ccc(-c5ccc(CO)nc5)cc4c32)c(C)n1,not_reduction
CCOC(=O)CNc1cc(F)c(Oc2ccc(C(=O)OCC)cc2)cc1[N+](=O)[O-].c1c[nH]cn1,CN(C)C=O,CCOC(=O)CNc1cc(-n2ccnc2)c(Oc2ccc(C(=O)OCC)cc2)cc1[N+](=O)[O-],not_reduction
CN(C)CCC(NC(=O)C1(NC(=O)OC(C)(C)C)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,CO.Cl.ClCCl,CN(C)CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,not_reduction
C#CCOc1c(OC)cc(C(=O)NCC2CCCCC2)cc1OC.COc1ccc(P2(=S)SP(=S)(c3ccc(OC)cc3)S2)cc1,Cc1ccccc1,C#CCOc1c(OC)cc(C(=S)NCC2CCCCC2)cc1OC,not_reduction
C1CS1.Oc1ccc(Oc2ccccc2)cc1,C1CCOC1.C=CCBr.C=CCCBr.C=CCCCBr.N#C[S-].O.O=C(OO)c1cccc(Cl)c1.[NH4+].[SH],Sc1ccc(Oc2ccccc2)cc1,not_reduction
CC(c1ccc(Br)cc1Cl)C(O)(c1ccc2c(c1)N(C)C(=O)CO2)C(F)(F)F.COC(=O)c1ccc(B(O)O)cc1OC,,COC(=O)c1ccc(-c2ccc(C(C)C(O)(c3ccc4c(c3)N(C)C(=O)CO4)C(F)(F)F)c(Cl)c2)cc1OC,not_reduction
O=C(c1ccccc1)c1ccc(O)cc1.[I-],Cl.I.O.[K+].[NH4+].[OH-],O=C(c1ccccc1)c1ccc(O)c(I)c1,not_reduction
CCOC(=O)c1cnc2c(F)cc(SCc3ccccc3)cc2c1O.NCc1ccc(Cl)cc1,CO.ClC(Cl)Cl,O=C(NCc1ccc(Cl)cc1)c1cnc2c(F)cc(SCc3ccccc3)cc2c1O,not_reduction
FC1(F)CCCNCC1.O=C(O)c1csc(-c2cocn2)c1,C1CCOC1.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2cccnc21)=[N+](C)C.ClCCl.F[P-](F)(F)(F)(F)F.O=C(O)C(F)(F)F,O=C(c1csc(-c2cocn2)c1)N1CCCC(F)(F)CC1,not_reduction
CCCCCCCCC#Cc1cc(OC)ccc1C(=O)OC.CNOC,Cl.[Li]CCCC,CCCCCCCCC#Cc1cc(OC)ccc1C(=O)N(C)OC,not_reduction
Clc1nsnc1-c1cccnc1.N#CCCCCCBr.S,CN(C)C=O.O.O.O=C([O-])[O-].[K+].[K+].[Na],N#CCCCCCSc1nsnc1-c1cccnc1,not_reduction
COc1nc(N)nc(OC)n1.O=S(=O)(N=C=S)c1ccccc1,CC#N.CCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCC(=O)[O-].CCCC[Sn+2]CCCC.CCOCC,COc1nc(NC(=S)NS(=O)(=O)c2ccccc2)nc(OC)n1,not_reduction
CI.c1cc(-c2n[nH]c(-c3ccncn3)n2)ncn1,C1CCOC1.[H-].[Na+],Cn1nc(-c2ccncn2)nc1-c1ccncn1,not_reduction
CCc1ccc(C(=O)N2CCC3(CC2)Oc2ccccc2-n2c(C=O)ccc23)cc1OC.NO,CC(=O)[O-].CCO.Cl.O.[Na+],CCc1ccc(C(=O)N2CCC3(CC2)Oc2ccccc2-n2c(C=NO)ccc23)cc1OC,not_reduction
CCC(N)CC.COC(=O)Cc1c(Br)csc1-c1ccc(C(=O)O)cc1,CN(C)C=O,CCC(CC)NC(=O)c1ccc(-c2scc(Br)c2CC(=O)OC)cc1,not_reduction
CS(=O)(=O)c1ccc(-n2ncc3c(Cl)ncnc32)cc1.OC1CN(Cc2ccccc2)C1,CC(=O)N(C)C.Cl.[H-].[Na+],CS(=O)(=O)c1ccc(-n2ncc3c(OC4CN(Cc5ccccc5)C4)ncnc32)cc1,not_reduction
Cc1ccc([N+](=O)[O-])cc1N.Clc1ccnc(Cl)c1,CC(=O)[O-].CC(=O)[O-].Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd+2].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,Cc1ccc([N+](=O)[O-])cc1Nc1cc(Cl)ccn1,not_reduction
NC(c1ccccc1)c1ccccc1.O=C(Cl)c1ccc(F)cc1,CC(C)OC(C)C.CCOC(C)=O.ClCCl.O.c1ccncc1,O=C(NC(c1ccccc1)c1ccccc1)c1ccc(F)cc1,not_reduction
CC(C)(C)OC(=O)N1CCNCC1.Fc1ccc(-c2ccc(Br)cc2)cc1,CC(C)(C)[O-].Cc1ccccc1.[Na+].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,CC(C)(C)OC(=O)N1CCN(c2ccc(-c3ccc(F)cc3)cc2)CC1,not_reduction
C[Si](C)(C)C#Cc1cnn(C2CCC(N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)c1,C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.[F-],C#Cc1cnn(C2CCC(N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)c1,not_reduction
ClCc1cccnc1.O=[N+]([O-])c1ccc(O)cc1F,CN(C)C=O.Cl.[H-].[Na+],O=[N+]([O-])c1ccc(OCc2cccnc2)cc1F,not_reduction
CC=Cc1ccc(O)c(OC)c1.ClCC1CO1,CCO.[Na+].[OH-],CC=C1Oc2cc(O)c(OC)cc21,not_reduction
COC(=O)c1ccc([N+](=O)[O-])cc1C(=O)OC,ClCCl,COC(=O)c1ccc(N)cc1C(=O)OC,not_reduction
CC1=CCC(CC2OCCO2)C1(C)C.CC[Zn]CC,CCCCCC.ClCCCl.ICI.O=C([O-])[O-].[K+].[K+],CC1(C)C(CC2OCCO2)CC2CC21C,not_reduction
